State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Kerala,Idukki,"Adimali APMC","Banana - Green","Banana - Green",Medium,21/04/2026,3000,4000,3500
Kerala,Idukki,"Nedumkandam APMC","Banana - Green",Other,FAQ,21/04/2026,3800,4200,4000
Kerala,Ernakulam,"Perumbavoor APMC",Cauliflower,Cauliflower,Medium,21/04/2026,2500,3500,3000
Kerala,Ernakulam,"Perumbavoor APMC",Cowpea(Veg),"Cowpea (Veg)",Large,21/04/2026,2500,3500,3000
Kerala,Ernakulam,"Perumbavoor APMC",Cabbage,Cabbage,Medium,21/04/2026,3000,4000,3500
Kerala,Ernakulam,"Perumbavoor APMC","Bottle gourd","Bottle Gourd",Medium,21/04/2026,2000,3000,2500
Kerala,Ernakulam,"Perumbavoor APMC",Snakeguard,Snakeguard,Medium,21/04/2026,3000,4000,3500
Kerala,Ernakulam,"Perumbavoor APMC",Lemon,Lemon,Medium,21/04/2026,9300,10500,10000
Kerala,Ernakulam,"Perumbavoor APMC",Carrot,Carrot,Medium,21/04/2026,4000,5000,4500
Kerala,Ernakulam,"Perumbavoor APMC",Cucumbar(Kheera),Cucumbar,Medium,21/04/2026,2000,3000,2500
Kerala,Ernakulam,"Perumbavoor APMC",Onion,Onion,Medium,21/04/2026,2500,3300,2800
